Date,predicted_mean
2024-08-29,1596.4480080906112
2024-08-30,1596.1926462256718
2024-09-02,1598.7743498033522
2024-09-03,1596.874684011512
2024-09-04,1596.9643326695789
2024-09-05,1597.1215475424126
2024-09-06,1597.2725375054372
2024-09-09,1597.0776390162753
2024-09-10,1597.132154071323
2024-09-11,1597.150978503096
2024-09-12,1597.1514228390138
2024-09-13,1597.1345551285388
2024-09-16,1597.143555029923
2024-09-17,1597.144006076373
2024-09-18,1597.1428822230296
2024-09-19,1597.1418787899172
2024-09-20,1597.1429750302118
2024-09-23,1597.1427890490768
2024-09-24,1597.1426426270982
2024-09-25,1597.1426317680648
2024-09-26,1597.1427339709874
2024-09-27,1597.1426906457107
2024-09-30,1597.1426815802092
2024-10-01,1597.1426881593854
2024-10-03,1597.142694866446
2024-10-04,1597.1426888693748
2024-10-07,1597.1426892544018
2024-10-08,1597.142690282109
2024-10-09,1597.14269043803
2024-10-10,1597.1426898278692
2024-10-11,1597.142690023042
2024-10-14,1597.1426901080815
2024-10-15,1597.1426900732881
2024-10-16,1597.1426900285119
2024-10-17,1597.142690060419
2024-10-18,1597.1426900621093
2024-10-21,1597.1426900555284
2024-10-22,1597.1426900539402
2024-10-23,1597.142690057534
2024-10-24,1597.142690056756
2024-10-25,1597.1426900561044
2024-10-28,1597.142690056264
2024-10-29,1597.1426900565577
2024-10-31,1597.1426900563938
2024-11-01,1597.142690056362
2024-11-04,1597.1426900564013
2024-11-06,1597.1426900564152
2024-11-07,1597.1426900563945
2024-11-08,1597.1426900563968
2024-11-11,1597.1426900564013
2024-11-12,1597.1426900564009
2024-11-13,1597.142690056399
2024-11-14,1597.1426900564
2024-11-18,1597.1426900564002
2024-11-19,1597.1426900564
2024-11-21,1597.1426900564
2024-11-22,1597.1426900564002
2024-11-25,1597.1426900564002
2024-11-26,1597.1426900564002
2024-11-27,1597.1426900564002
2024-11-28,1597.1426900564002
2024-11-29,1597.1426900564002
2024-12-02,1597.1426900564002
2024-12-03,1597.1426900564002
2024-12-04,1597.1426900564002
2024-12-05,1597.1426900564002
2024-12-06,1597.1426900564002
2024-12-09,1597.1426900564002
2024-12-10,1597.1426900564002
2024-12-11,1597.1426900564002
2024-12-12,1597.1426900564002
2024-12-13,1597.1426900564002
2024-12-16,1597.1426900564002
2024-12-17,1597.1426900564002
2024-12-18,1597.1426900564002
2024-12-19,1597.1426900564002
2024-12-20,1597.1426900564002
2024-12-23,1597.1426900564002
2024-12-24,1597.1426900564002
2024-12-26,1597.1426900564002
2024-12-27,1597.1426900564002
2024-12-30,1597.1426900564002
2024-12-31,1597.1426900564002
2025-01-01,1597.1426900564002
2025-01-02,1597.1426900564002
2025-01-03,1597.1426900564002
2025-01-06,1597.1426900564002
2025-01-07,1597.1426900564002
2025-01-08,1597.1426900564002
2025-01-09,1597.1426900564002
2025-01-10,1597.1426900564002
2025-01-13,1597.1426900564002
2025-01-14,1597.1426900564002
2025-01-15,1597.1426900564002
2025-01-16,1597.1426900564002
2025-01-17,1597.1426900564002
2025-01-20,1597.1426900564002
2025-01-21,1597.1426900564002
2025-01-22,1597.1426900564002
2025-01-23,1597.1426900564002
2025-01-24,1597.1426900564002
2025-01-27,1597.1426900564002
2025-01-28,1597.1426900564002
2025-01-29,1597.1426900564002
2025-01-30,1597.1426900564002
2025-01-31,1597.1426900564002
2025-02-01,1597.1426900564002
2025-02-03,1597.1426900564002
2025-02-04,1597.1426900564002
2025-02-05,1597.1426900564002
2025-02-06,1597.1426900564002
2025-02-07,1597.1426900564002
2025-02-10,1597.1426900564002
2025-02-11,1597.1426900564002
2025-02-12,1597.1426900564002
2025-02-13,1597.1426900564002
2025-02-14,1597.1426900564002
2025-02-17,1597.1426900564002
2025-02-18,1597.1426900564002
2025-02-19,1597.1426900564002
2025-02-20,1597.1426900564002
2025-02-21,1597.1426900564002
2025-02-24,1597.1426900564002
2025-02-25,1597.1426900564002
2025-02-27,1597.1426900564002
2025-02-28,1597.1426900564002
2025-03-03,1597.1426900564002
2025-03-04,1597.1426900564002
2025-03-05,1597.1426900564002
2025-03-06,1597.1426900564002
2025-03-07,1597.1426900564002
2025-03-10,1597.1426900564002
2025-03-11,1597.1426900564002
2025-03-12,1597.1426900564002
2025-03-13,1597.1426900564002
2025-03-17,1597.1426900564002
2025-03-18,1597.1426900564002
2025-03-19,1597.1426900564002
2025-03-20,1597.1426900564002
2025-03-21,1597.1426900564002
2025-03-24,1597.1426900564002
2025-03-25,1597.1426900564002
2025-03-26,1597.1426900564002
2025-03-27,1597.1426900564002
2025-03-28,1597.1426900564002
2025-04-01,1597.1426900564002
2025-04-02,1597.1426900564002
2025-04-03,1597.1426900564002
2025-04-04,1597.1426900564002
2025-04-07,1597.1426900564002
2025-04-08,1597.1426900564002
2025-04-09,1597.1426900564002
2025-04-11,1597.1426900564002
2025-04-15,1597.1426900564002
2025-04-16,1597.1426900564002
2025-04-17,1597.1426900564002
2025-04-21,1597.1426900564002
2025-04-22,1597.1426900564002
2025-04-23,1597.1426900564002
2025-04-24,1597.1426900564002
2025-04-25,1597.1426900564002
2025-04-28,1597.1426900564002
2025-04-29,1597.1426900564002
2025-04-30,1597.1426900564002
2025-05-02,1597.1426900564002
2025-05-05,1597.1426900564002
2025-05-06,1597.1426900564002
2025-05-07,1597.1426900564002
2025-05-08,1597.1426900564002
2025-05-09,1597.1426900564002
2025-05-12,1597.1426900564002
2025-05-13,1597.1426900564002
2025-05-14,1597.1426900564002
2025-05-15,1597.1426900564002
2025-05-16,1597.1426900564002
2025-05-19,1597.1426900564002
2025-05-20,1597.1426900564002
2025-05-21,1597.1426900564002
2025-05-22,1597.1426900564002
2025-05-23,1597.1426900564002
2025-05-26,1597.1426900564002
2025-05-27,1597.1426900564002
2025-05-28,1597.1426900564002
2025-05-29,1597.1426900564002
2025-05-30,1597.1426900564002
2025-06-02,1597.1426900564002
2025-06-03,1597.1426900564002
2025-06-04,1597.1426900564002
2025-06-05,1597.1426900564002
2025-06-06,1597.1426900564002
2025-06-09,1597.1426900564002
2025-06-10,1597.1426900564002
2025-06-11,1597.1426900564002
2025-06-12,1597.1426900564002
2025-06-13,1597.1426900564002
2025-06-16,1597.1426900564002
2025-06-17,1597.1426900564002
2025-06-18,1597.1426900564002
2025-06-19,1597.1426900564002
2025-06-20,1597.1426900564002
2025-06-23,1597.1426900564002
2025-06-24,1597.1426900564002
2025-06-25,1597.1426900564002
2025-06-26,1597.1426900564002
2025-06-27,1597.1426900564002
2025-06-30,1597.1426900564002
2025-07-01,1597.1426900564002
2025-07-02,1597.1426900564002
2025-07-03,1597.1426900564002
2025-07-04,1597.1426900564002
2025-07-07,1597.1426900564002
2025-07-08,1597.1426900564002
2025-07-09,1597.1426900564002
2025-07-10,1597.1426900564002
2025-07-11,1597.1426900564002
2025-07-14,1597.1426900564002
2025-07-15,1597.1426900564002
2025-07-16,1597.1426900564002
2025-07-17,1597.1426900564002
2025-07-18,1597.1426900564002
2025-07-21,1597.1426900564002
2025-07-22,1597.1426900564002
2025-07-23,1597.1426900564002
2025-07-24,1597.1426900564002
2025-07-25,1597.1426900564002
2025-07-28,1597.1426900564002
2025-07-29,1597.1426900564002
2025-07-30,1597.1426900564002
2025-07-31,1597.1426900564002
2025-08-01,1597.1426900564002
2025-08-04,1597.1426900564002
2025-08-05,1597.1426900564002
2025-08-06,1597.1426900564002
2025-08-07,1597.1426900564002
2025-08-08,1597.1426900564002
2025-08-11,1597.1426900564002
2025-08-12,1597.1426900564002
2025-08-13,1597.1426900564002
2025-08-14,1597.1426900564002
2025-08-18,1597.1426900564002
2025-08-19,1597.1426900564002
2025-08-20,1597.1426900564002
2025-08-21,1597.1426900564002
2025-08-22,1597.1426900564002
